name-of-company,name-of-job,location,salary
Deloitte,"Manager, GenAI Engineering","New York, NY",$103K - $211K(Employer est.)
DTCC,Model Validation Senior Associate,"Jersey City, NJ",$105K - $132K(Glassdoor est.)
Macquarie Group Limited,Senior C++ Developer,"New York, NY",$140K - $170K(Employer est.)
Macquarie Group Limited,Senior Delta 1 and SBL Trader,"New York, NY",$140K - $190K(Employer est.)
DW Simpson,M&A Actuarial Analyst - US Life - Hybrid,"New York, NY",$150K(Employer est.)
DataAnnotation,Software Engineer- Design Systems - AI Trainer,"New York, NY",$40.00Per Hour(Employer est.)
Intone Networks,Junior developer,"New York, NY",$72K - $110K(Glassdoor est.)
,,,
,,,
,,,
Council on Foreign Relations,Data Visuals Designer,"New York, NY",$70K - $85K(Employer est.)
,,,
,,,
,,,
DataAnnotation,UI developer - AI Trainer,"New York, NY",$40.00Per Hour(Employer est.)
Federal Bureau of Investigation,FBI Special Agent: Advanced Data & Intelligence Expertise,United States,$99K - $128K(Employer est.)
SurgeAI,Strategic Program Manager,"New York, NY",$104K(Employer est.)
SurgeAI,Strategy Associate,"New York, NY",$104K(Employer est.)
Spotify,"Machine Learning Engineer, Music","New York, NY",$138K - $198K(Employer est.)
,,,
,,,
,,,
DataAnnotation,Full Stack Developer (UX/UI) - AI Trainer,"New York, NY",$40.00Per Hour(Employer est.)
DataAnnotation,Web Engineer - AI Trainer,"New York, NY",$40.00Per Hour(Employer est.)
JetBlue Airways Corporation,Senior Manager Operations Strategy and Data Analysis,"Long Island City, NY",$111K - $157K(Employer est.)
Accenture,Data Engineer,United States,
,,,
,,,
"D. E. Shaw & Co., L.P.",People Operations Associate,"New York, NY",$110K - $130K(Employer est.)
,,,
,,,
,,,
Morningstar,"Analyst, Cash Flow Analytics","New York, NY",$73K - $97K(Employer est.)
,,,
,,,
,,,
Shake Shack,Culinary Insights Analyst,"New York, NY",$82K - $112K(Employer est.)
,,,
,,,
,,,
JPMorganChase,Predictive Science,"New York, NY",$195K - $260K(Employer est.)
,,,
,,,
Sumitomo Mitsui Banking Corporation,Associate Software Developer - Python,"Jersey City, NJ",$85K - $170K(Employer est.)
,,,
,,,
,,,
JetBlue Airways Corporation,Manager Financial Systems,"Long Island City, NY",$120K - $140K(Employer est.)
Citi,Structurer,"New York, NY",$200K(Employer est.)
,,,
,,,
,,,
Deutsche Bank,Index Trader - Associate,"New York, NY",$135K - $175K(Employer est.)
,,,
,,,
,,,
ExemplarITS,Python Developer,"Jersey City, NJ",$55.00 - $60.00Per Hour(Employer est.)
,,,
,,,
,,,
JPMorganChase,Asset Management - Trading Analytics - Associate,"New York, NY",$143K - $170K(Employer est.)
,,,
,,,
,,,
Rokt,Solutions Consultant,"New York, NY",$182K - $355K(Employer est.)
BlackRock Investments,"Agency Mortgages - Prepayment, Associate","New York, NY",$116K - $155K(Employer est.)
,,,
,,,
Spotify,"Data Engineer, Content Understanding","New York, NY",$126K - $179K(Employer est.)
,,,
,,,
,,,
